survey1supreme_court_confidence,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1military_confidence,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1police_confidence,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1banks_confidence,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1unions_confidence,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1public_ed_confidence,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1press_confidence,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1improve_condition_blacks,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1improve_condition_abroad,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1protecting_environment,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1government_redistribution,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1income_tax_level,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1death_penalty,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1affirmative_action,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1sex_before_marriage,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1same_sex_relations,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1abortion,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1people_helpful,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1people_take_advntg_of_you,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1people_trustworthy,Variable from the data-stata.csv file and answer to survey question listed in Appendix B
survey1playerip,Variable from the zip-ip-distance.csv file
survey1playerlat,Variable from the zip-ip-distance.csv file
survey1playerlong,Variable from the zip-ip-distance.csv file
survey1playerzip,Variable from the zip-ip-distance.csv file
survey1playerip1,Variable generated from survey1playerip
survey1playerip2,Variable generated from survey1playerip
survey1playerip3,Variable generated from survey1playerip
survey1playerip4,Variable generated from survey1playerip
match0distance_sex,Dissimilarity (binary) between subject and target where 0 means both share the same sex and 1 means they are opposite sex
match0distance_date,Dissimilarity (continuous) between subject and target where 0 means both share the same birthday and 1 means they are very different in age
match0distance_miles,Dissimilarity (continuous) between subject and target where 0 means limited geographic distance and 1 means maximal geographical distance
match0distance_ethnicity,Dissimilarity (binary) between subject and target where 0 means both share the same ethnicity and 1 means they have different ethnicities
match0distance_ethnicity_choice,Dissimilarity (binary) between subject and target where 0 means both share the same ethnicity choice and 1 means they have different ethnicity choices
match0distance_race,Dissimilarity (binary) between subject and target where 0 means both share the same race and 1 means they have different races
match0distance_religion,Dissimilarity (binary) between subject and target where 0 means both share the same religion and 1 means they have different religions
match0distance_religion_denomina,Dissimilarity (binary) between subject and target where 0 means both share the same religious denomination and 1 means they have different religious denominations
match0distance_country_growing_u,Dissimilarity (binary) between subject and target where 0 means both grew up in the same country and 1 means they grew up in different countries
match0distance_us_state_grow_up,Dissimilarity (binary) between subject and target where 0 means both grew up in the same state and 1 means they grew up in different states
match0distance_another_country_g,Dissimilarity (binary) between subject and target where 0 means both grew up in the same different country and 1 means they grew up in different different countries
match0objective_distance_correct,Objective distance (continuous) between subject and target which is a weighted average of the previous variables where 0 means they had identical responses to all questions and 1 means they had maximally different responses
