,index,participant.code,participant.mturk_assignment_id,session.code,session.label,session.mturk_HITId,survey.1.player.ip,survey.1.player.lat,survey.1.player.long,survey.1.player.zip,ip_location,ip_lat,ip_long,zip_ip_distance
262,421,pv8ryiqt,3AWETUDC935DVTISU7MW0F0S8VJZIG,l4vvkf1o,,3L7SUC0TTU70274ZLP2UYP8WSYC0MU,217.138.208.140,40.7209,-74.0089,10013,"{'iplat': '40.72184', 'iplong': '-74.00695'}",40.72184,-74.00695,0.121190901
242,373,19wjtdxa,337RC3OW06FYCALOEDU67PFO03GLVI,cqce6pqr,20201116_1330 1,336OE47KI2XC0KZTSOW6SG0DKT5WV5,217.138.208.148,40.7209,-74.0089,10013,"{'iplat': '40.72184', 'iplong': '-74.00695'}",40.72184,-74.00695,0.121190901
297,462,okwds58i,3GM6G9ZBKOA350ZK9UV66K6S48UMTG,l4vvkf1o,,3L7SUC0TTU70274ZLP2UYP8WSYC0MU,217.138.208.148,40.7209,-74.0089,10013,"{'iplat': '40.72184', 'iplong': '-74.00695'}",40.72184,-74.00695,0.121190901
214,322,g05u8wdc,35USIKEBNST3LK98PI2D8P3EO5P6NE,g410nev8,,3PZDSVZ3J5UNJD70GR4WN7N9EX54NB,72.191.41.53,32.9195,-96.9774,75063,"{'iplat': '32.92138', 'iplong': '-96.97942'}",32.92138,-96.97942,0.174837792
273,432,t6x9kvom,31Q0U3WYDQSJBDGO3597HWQ7H0W715,l4vvkf1o,,3L7SUC0TTU70274ZLP2UYP8WSYC0MU,173.187.1.234,35.2287,-80.8458,28201,"{'iplat': '35.22710', 'iplong': '-80.84310'}",35.2271,-80.8431,0.188393793
846,1311,v9zv167g,3X3OR7WPZ0D01YPB6KJWFBVGQSUL83,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,68.200.214.64,28.1273,-82.015,33810,"{'iplat': '28.12983', 'iplong': '-82.01706'}",28.12983,-82.01706,0.214864685
264,423,i80qm4wh,30MVJZJNHNQUKDKL8RDXZSDZ67K9JN,l4vvkf1o,,3L7SUC0TTU70274ZLP2UYP8WSYC0MU,67.240.100.37,43.3082,-73.6409,12801,"{'iplat': '43.31122', 'iplong': '-73.64376'}",43.31122,-73.64376,0.253479528
608,966,5w5vu5ti,3B2X28YI3XS1KBKBMSX4HU3K82MB6E,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,96.227.75.16,39.9519,-75.1587,19107,"{'iplat': '39.95230', 'iplong': '-75.16380'}",39.9523,-75.1638,0.272204113
336,547,7cumem9u,32XVDSJFP0A9L157QFBA5XX24V52MS,ll1e41pw,,3YCT0L9OMMM6LY9B6S0ELA3FSG4SN8,74.71.23.203,40.7983,-73.9632,10025,"{'iplat': '40.79883', 'iplong': '-73.96887'}",40.79883,-73.96887,0.299564336
598,926,l7ct8dyf,35DR22AR5EX90V0U8MROZOISHED3XE,39muniop,,3SA4EMRVJVF6NA1CD5UMFT2RX3N0PQ,97.90.89.155,46.5983,-120.5275,98902,"{'iplat': '46.59980', 'iplong': '-120.53443'}",46.5998,-120.53443,0.345832327
436,693,e99bewi9,37ZHEEHM6XZFLGU3Q9NQ5P54FKA37T,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,192.3.166.85,33.7529,-84.3924,30303,"{'iplat': '33.74900', 'iplong': '-84.38800'}",33.749,-84.388,0.369349959
941,1465,vuq7uoiu,3YMTUJH0DTTN1AAE3QVAKQPSIJLT48,bw6g695l,,3N2YPY1GI6BIJKD27O206ATDDS3VEX,65.31.33.219,39.0568,-84.3436,45255,"{'iplat': '39.05430', 'iplong': '-84.33645'}",39.0543,-84.33645,0.421461572
448,705,omdkzsy5,3JC6VJ2SACW0IXF5BVN3UD5EUO7A5H,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,24.253.82.143,36.1753,-115.1364,89132,"{'iplat': '36.16990', 'iplong': '-115.14000'}",36.1699,-115.14,0.42323284
691,1064,twd96y3v,3SB4CE2TJW89KGZFH16YMWWYNP8AXM,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,23.241.68.1,34.2875,-119.2202,93003,"{'iplat': '34.29521', 'iplong': '-119.21787'}",34.29521,-119.21787,0.547891122
524,831,0vjn1jlf,3YHH42UU5CSIJ9K8BG6HMWPY7SVL0P,39muniop,,3SA4EMRVJVF6NA1CD5UMFT2RX3N0PQ,24.91.172.89,42.3623,-71.0673,2114,"{'iplat': '42.35570', 'iplong': '-71.05720'}",42.3557,-71.0572,0.689084767
184,269,mztktl80,3U5JL4WY5LMUIRJY80W79TAYUSPX40,q40of133,,3IV1AEQ4DRQSJO3HDW2HBCMX7ZW8JI,70.121.84.16,30.498,-97.8157,78613,"{'iplat': '30.50661', 'iplong': '-97.82189'}",30.50661,-97.82189,0.698646539
100,151,ixyuw6pl,3XC1O3LBOTZJZIHZ9IUR67R33GBLT9,bnwhita6,,37PGLWGSJTJGJELC43EKPGGOPJ6IK2,65.30.189.173,42.9596,-87.9929,53220,"{'iplat': '42.96620', 'iplong': '-88.00475'}",42.9662,-88.00475,0.753981041
835,1298,4fjhqzli,3UXUOQ9OKFAF51TOZO20SXJALWO7AJ,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,24.164.39.0,28.0404,-82.0066,33815,"{'iplat': '28.04211', 'iplong': '-81.99418'}",28.04211,-81.99418,0.767893448
658,1022,xpgkwc0g,3B2X28YI3XS1KBKBMSX4HU3K82OB6G,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,76.111.108.105,39.2569,-76.7917,21043,"{'iplat': '39.26730', 'iplong': '-76.79830'}",39.2673,-76.7983,0.800001131
181,265,76yxikjg,3M0NZ3JDP2B1J5NDNN32B6WN2OH5Z9,q40of133,,3IV1AEQ4DRQSJO3HDW2HBCMX7ZW8JI,5.62.59.14,39.2954,-76.6239,21201,"{'iplat': '39.29058', 'iplong': '-76.60926'}",39.29058,-76.60926,0.852305727
514,779,05926gc5,37W3JXSD67LVRYSSN2OSNZ0YHCXWYD,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,136.29.7.209,39.732,-104.9825,80203,"{'iplat': '39.74490', 'iplong': '-104.97900'}",39.7449,-104.979,0.909293693
239,370,tpuetlas,3907X2AHF1IF642KIV32M1RX8FLP29,cqce6pqr,20201116_1330 1,336OE47KI2XC0KZTSOW6SG0DKT5WV5,74.134.152.187,38.2812,-85.841,47150,"{'iplat': '38.28552', 'iplong': '-85.82463'}",38.28552,-85.82463,0.938524939
644,1005,xscbgefg,30X31N5D6431OZDGNR0BNOF689ZAS5,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,68.32.62.151,42.6506,-82.926,48044,"{'iplat': '42.66520', 'iplong': '-82.92860'}",42.6652,-82.9286,1.016443308
252,411,w9wpf7df,3EKVH9QMEZH6H7ZUDMC7M7A8VHD2DA,l4vvkf1o,,3L7SUC0TTU70274ZLP2UYP8WSYC0MU,63.167.242.19,37.2705,-79.9593,24016,"{'iplat': '37.27450', 'iplong': '-79.94090'}",37.2745,-79.9409,1.050896596
50,74,dgsaekqj,3C8HJ7UOP87ZRC8JFMKOS879OITMZ0,pqntdh2k,,3EFNPKWBMS1ZGLWPF7XF2QZQS3403F,69.113.161.195,40.8542,-74.4045,7054,"{'iplat': '40.85960', 'iplong': '-74.42330'}",40.8596,-74.4233,1.05309784
522,828,0zv65hpa,3FTYUGLFSVYYG4IHV5E5KEDKFR45DE,39muniop,,3SA4EMRVJVF6NA1CD5UMFT2RX3N0PQ,76.124.47.71,39.9488,-75.1443,19106,"{'iplat': '39.95230', 'iplong': '-75.16380'}",39.9523,-75.1638,1.063225608
813,1269,zm5k9xf0,3QILPRALQ68QPYSWIXZBS3Z5VMQN81,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,104.162.83.33,40.6651,-73.9803,11215,"{'iplat': '40.65706', 'iplong': '-73.99994'}",40.65706,-73.99994,1.171668266
84,123,wmmkvd5o,3I3WADAZ9RHPK196LESLV8PJIIUO52,morw9hf0,,38XPGNCKHTD0RIG9IIQNXOHM0ZCV4M,68.101.153.220,32.7199,-117.1805,92101,"{'iplat': '32.71570', 'iplong': '-117.16100'}",32.7157,-117.161,1.172229569
121,173,7ryjjlq2,3XC1O3LBOTZJZIHZ9IUR67R33GBTLH,bnwhita6,,37PGLWGSJTJGJELC43EKPGGOPJ6IK2,68.101.148.232,32.7199,-117.1805,92101,"{'iplat': '32.71570', 'iplong': '-117.16100'}",32.7157,-117.161,1.172229569
131,200,0sgifs6c,3HPZF4IVNN6MD0MN6BORB5TVOBZCYX,g01kvru7,,39AYGO6AFFX1Y0BEZFXBK57NAOB6NY,24.125.203.214,34.2566,-85.1649,30162,"{'iplat': '34.27070', 'iplong': '-85.17900'}",34.2707,-85.179,1.263180986
713,1117,j8uoqs8b,31HQ4X3T3TNIKI4KKIP1W2VH2LXLSX,c72oerrg,,3UUSLRKAULGBGOY6TVO0UEVPRYW7DP,24.59.126.37,43.1517,-77.583,14607,"{'iplat': '43.14112', 'iplong': '-77.60374'}",43.14112,-77.60374,1.277666991
684,1057,fayu4u3g,3PJUZCGDJ7T50WO2HNG6A24LQYG89W,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,76.93.160.229,32.9154,-117.0836,92131,"{'iplat': '32.91310', 'iplong': '-117.06168'}",32.9131,-117.06168,1.283925913
858,1325,183zmu2g,3B3WTRP3DCFUEHMD16750BRI4YO92U,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,24.228.79.183,41.003,-74.2851,7442,"{'iplat': '41.01320', 'iplong': '-74.26430'}",41.0132,-74.2643,1.29521504
460,717,58m2o5t6,3QXNC7EIPJ8NI7JZMJ3RHNY37YE097,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,142.197.136.1,28.3069,-81.4229,34741,"{'iplat': '28.29446', 'iplong': '-81.40677'}",28.29446,-81.40677,1.303975325
820,1276,5b0e8z8i,3FDJT1UU75L6UAORNM0SOR8AZ1L5KD,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,75.118.53.91,40.0531,-83.021,43214,"{'iplat': '40.06450', 'iplong': '-83.00060'}",40.0645,-83.0006,1.337283635
477,735,woqsg9r0,30BXRYBRP5A95323D2K41Z5VRG1HWG,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,24.208.188.198,40.7331,-84.1711,45805,"{'iplat': '40.73490', 'iplong': '-84.14561'}",40.7349,-84.14561,1.343692037
635,995,d84gbob0,3GD6L00D3TA2WGNB7BBW0ENXCQB1MW,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,65.27.109.126,44.2758,-88.3745,54911,"{'iplat': '44.26069', 'iplong': '-88.39175'}",44.26069,-88.39175,1.349387146
672,1043,bonhxc7a,3JCG6DTRV43HYZ5KKJ8SIOFAU43QQ8,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,108.183.242.14,44.675,-75.4822,13669,"{'iplat': '44.69385', 'iplong': '-75.48960'}",44.69385,-75.4896,1.3516806
529,836,nn2e51vt,3DOCMVPBTORBS5F0OZOUA0P0KG6NN4,39muniop,,3SA4EMRVJVF6NA1CD5UMFT2RX3N0PQ,74.74.203.104,42.6956,-73.088,1247,"{'iplat': '42.69992', 'iplong': '-73.11505'}",42.69992,-73.11505,1.409158177
690,1063,uvz1oblm,3A4NIXBJ77CFMNRF0LTFKTWBAXMLMU,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,66.108.163.234,40.6596,-73.845,11414,"{'iplat': '40.68012', 'iplong': '-73.84736'}",40.68012,-73.84736,1.421334322
837,1300,jn8y38r5,3HMVI3QICK52QXCPQEZ7U9A4L1RY1N,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,98.27.209.160,41.6776,-81.3298,44060,"{'iplat': '41.69800', 'iplong': '-81.33632'}",41.698,-81.33632,1.447724583
876,1386,8a8tc24y,3GLB5JMZFY8WW171C1XWOB49511DGP,bw6g695l,,3N2YPY1GI6BIJKD27O206ATDDS3VEX,24.74.1.109,34.9496,-79.7549,28380,"{'iplat': '34.93601', 'iplong': '-79.77435'}",34.93601,-79.77435,1.44794744
727,1132,hpujafi8,3MTMREQS4WVUVGUP7WACKDIREMVAWK,c72oerrg,,3UUSLRKAULGBGOY6TVO0UEVPRYW7DP,97.102.0.185,28.6815,-81.2761,32708,"{'iplat': '28.70109', 'iplong': '-81.26642'}",28.70109,-81.26642,1.471601172
823,1279,s6wh0tem,3ZPPDN2SLW9M9XYTUQ262C07108E9T,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,107.12.154.128,34.8176,-77.3751,28546,"{'iplat': '34.82644', 'iplong': '-77.35112'}",34.82644,-77.35112,1.49317835
564,879,zxwgm29f,3GDTJDAPVVOK7G7W6WKBFOA5QVX8M1,39muniop,,3SA4EMRVJVF6NA1CD5UMFT2RX3N0PQ,69.116.106.235,40.6813,-74.2278,7208,"{'iplat': '40.66400', 'iplong': '-74.21070'}",40.664,-74.2107,1.494015898
765,1183,b7mppd5o,3ZR9AIQJUCMML1DN5O700FNNL8R046,c72oerrg,,3UUSLRKAULGBGOY6TVO0UEVPRYW7DP,75.190.204.157,35.4002,-80.8664,28078,"{'iplat': '35.41048', 'iplong': '-80.84288'}",35.41048,-80.84288,1.504858946
163,238,azeuhtht,3ON104KXQL9FTRE8YV0L7AWRLQT4WO,g01kvru7,,39AYGO6AFFX1Y0BEZFXBK57NAOB6NY,104.218.198.100,39.7377,-105.0203,80204,"{'iplat': '39.74001', 'iplong': '-104.99202'}",39.74001,-104.99202,1.514681063
457,714,qxfejltc,33ISQZVXPQZ9AXLIAJ62EE1CM8ECCT,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,67.172.223.199,38.4328,-77.3952,22554,"{'iplat': '38.43350', 'iplong': '-77.42430'}",38.4335,-77.4243,1.579529204
170,254,cvagwr8k,3EKVH9QMEZH6H7ZUDMC7M7A8UWGD2H,q40of133,,3IV1AEQ4DRQSJO3HDW2HBCMX7ZW8JI,199.116.157.211,37.3206,-82.9677,41822,"{'iplat': '37.34430', 'iplong': '-82.97630'}",37.3443,-82.9763,1.701633014
6,6,l1reowvo,3C8HJ7UOP87ZRC8JFMKOS879OHNMZS,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,173.91.109.51,41.4517,-82.156,44052,"{'iplat': '41.43495', 'iplong': '-82.13019'}",41.43495,-82.13019,1.769869914
860,1328,cr46dd8f,3EFE17QCRDIGYMLUTXA34A2AL5VSH6,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,74.134.239.49,38.2782,-85.594,40242,"{'iplat': '38.30283', 'iplong': '-85.58083'}",38.30283,-85.58083,1.843509774
597,925,kzztukku,3J88R45B2HBG7K5H6KOVCRLTM92PX7,39muniop,,3SA4EMRVJVF6NA1CD5UMFT2RX3N0PQ,137.118.148.50,45.7181,-123.9352,97130,"{'iplat': '45.71780', 'iplong': '-123.89700'}",45.7178,-123.897,1.848134492
838,1301,qhkwcwwv,33F859I567QHH04SIBO8ELSAHH6BHL,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,74.68.98.184,40.8184,-73.9423,10030,"{'iplat': '40.79199', 'iplong': '-73.94875'}",40.79199,-73.94875,1.853493416
186,272,789ekoj1,3MRNMEIQW6JCITL2NSUC139H0W7LDE,q40of133,,3IV1AEQ4DRQSJO3HDW2HBCMX7ZW8JI,67.248.177.43,42.8498,-73.8,12065,"{'iplat': '42.86776', 'iplong': '-73.77253'}",42.86776,-73.77253,1.866286296
173,257,gpqpaqup,3IO1LGZLKAAIIDM4JGDUQSDJZAL86N,q40of133,,3IV1AEQ4DRQSJO3HDW2HBCMX7ZW8JI,98.194.131.163,30.0062,-95.4879,77068,"{'iplat': '30.03350', 'iplong': '-95.48430'}",30.0335,-95.4843,1.892784774
879,1390,rqiumhck,37Z929RLGAL63VCPTRRSIT5YWYJTS8,bw6g695l,,3N2YPY1GI6BIJKD27O206ATDDS3VEX,45.51.240.246,34.5798,-118.2435,93551,"{'iplat': '34.59253', 'iplong': '-118.21366'}",34.59253,-118.21366,1.914100564
8,8,3x99ecn2,3N2BF7Y2VR7D0R8P90EHS134SR6HMX,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,66.66.148.164,43.187,-77.6003,14621,"{'iplat': '43.21117', 'iplong': '-77.58138'}",43.21117,-77.58138,1.922744543
185,270,nng3kapu,3S0TNUHWKUVH3M1JT3L8WYNBGW8D8K,q40of133,,3IV1AEQ4DRQSJO3HDW2HBCMX7ZW8JI,98.202.19.81,40.562,-111.8017,84092,"{'iplat': '40.56500', 'iplong': '-111.83900'}",40.565,-111.839,1.973706208
900,1412,7njmxoy2,3PB5A5BD0WJGFS6RLOUAOJUDJQZG70,bw6g695l,,3N2YPY1GI6BIJKD27O206ATDDS3VEX,66.35.105.154,45.4675,-98.5275,57401,"{'iplat': '45.46470', 'iplong': '-98.48650'}",45.4647,-98.4865,2.00172801
671,1042,waab0vxy,3A9AA95ATXZ751L70E50K8U9TCUP53,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,173.245.203.153,39.0396,-77.4816,20147,"{'iplat': '39.01640', 'iplong': '-77.45900'}",39.0164,-77.459,2.009956543
625,985,i97x74e6,3AQF3RZ559VRXSWRRUJ00KU5N0E6FR,6m41pf1n,,3XEIP58NL00DYAS4P7E74BWTA0AZLO,104.230.65.205,39.7487,-84.2463,45417,"{'iplat': '39.73481', 'iplong': '-84.27967'}",39.73481,-84.27967,2.019188271
318,485,p4xt0mwr,33C7UALJVMBNBRL7DA1DVWM2SKL185,l4vvkf1o,,3L7SUC0TTU70274ZLP2UYP8WSYC0MU,73.255.138.151,27.2559,-82.5174,34231,"{'iplat': '27.23260', 'iplong': '-82.49660'}",27.2326,-82.4966,2.052354832
359,573,czhu62rd,3OE22WJIGJ19QSC11SSXSPCZXNLUQP,ll1e41pw,,3YCT0L9OMMM6LY9B6S0ELA3FSG4SN8,174.69.217.230,30.2389,-91.9894,70501,"{'iplat': '30.22410', 'iplong': '-92.01980'}",30.2241,-92.0198,2.084637053
88,127,44k5kqlj,3Y5140Z9DYTJHPGM7YOU9HYEX9WIPN,morw9hf0,,38XPGNCKHTD0RIG9IIQNXOHM0ZCV4M,69.23.235.1,38.2399,-84.5524,40324,"{'iplat': '38.20990', 'iplong': '-84.55934'}",38.2099,-84.55934,2.103351631
418,645,jcjle8g6,3YT88D1N09B3GV1N93CZ9UAQL5XK35,ll1e41pw,,3YCT0L9OMMM6LY9B6S0ELA3FSG4SN8,65.130.81.21,40.7864,-111.8689,84103,"{'iplat': '40.76080', 'iplong': '-111.89100'}",40.7608,-111.891,2.11292405
479,739,vpixzaqe,3VSOLARPKCMJZZIW56LAJLWAAAY395,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,107.216.254.132,37.2208,-93.3282,65802,"{'iplat': '37.20900', 'iplong': '-93.29230'}",37.209,-93.2923,2.140694877
2,2,abtzr204,3YGXWBAF71U6FT83H40KVGPOT8GC4O,hap6zgo3,,3K3G488TR2LQITOSAOFNWTOSJ3SQ5S,45.36.143.166,36.148,-80.3242,27106,"{'iplat': '36.15330', 'iplong': '-80.36227'}",36.1533,-80.36227,2.159948701
492,756,a7aphegw,3W92K5RLWVUKALI3MQEZQ0JRFY7V52,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,66.215.22.182,34.0905,-118.1346,91801,"{'iplat': '34.05979', 'iplong': '-118.12652'}",34.05979,-118.12652,2.16681852
278,439,7vs4e1u2,32RIADZISTHMMAXZEQQKALT6GYIS4P,l4vvkf1o,,3L7SUC0TTU70274ZLP2UYP8WSYC0MU,72.46.197.40,29.5287,-95.5292,77459,"{'iplat': '29.49880', 'iplong': '-95.51430'}",29.4988,-95.5143,2.246503156
306,471,shjawarw,3VZLGYJEYMNALO7NTTMX3PN7W8ZZXS,l4vvkf1o,,3L7SUC0TTU70274ZLP2UYP8WSYC0MU,47.28.230.149,41.1418,-104.7792,82001,"{'iplat': '41.13482', 'iplong': '-104.82154'}",41.13482,-104.82154,2.260774253
499,763,rerx4byo,3CTOC39K383Q6UWSTUFDLWMTBH5J7U,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,98.4.61.174,42.9071,-78.6264,14086,"{'iplat': '42.90039', 'iplong': '-78.67014'}",42.90039,-78.67014,2.267452132
936,1460,a1slzab8,3GNCZX450J04B7XOVAWHSJAVLQWPAA,bw6g695l,,3N2YPY1GI6BIJKD27O206ATDDS3VEX,69.181.52.35,37.7885,-122.3939,94105,"{'iplat': '37.75990', 'iplong': '-122.41500'}",37.7599,-122.415,2.285793273
440,697,fj2xjbxa,3N2BF7Y2VR7D0R8P90EHS134TENHMP,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,65.114.124.139,36.6395,-88.2775,42071,"{'iplat': '36.61210', 'iplong': '-88.30100'}",36.6121,-88.301,2.296850639
562,876,fo6iiwkx,3P529IW9KZY9GDZYEYP2P3C2DUKFLN,39muniop,,3SA4EMRVJVF6NA1CD5UMFT2RX3N0PQ,96.60.247.235,36.1753,-86.4909,37122,"{'iplat': '36.20010', 'iplong': '-86.51860'}",36.2001,-86.5186,2.306690918
903,1415,nnzsebgs,3RKNTXVS3NBIMEB5XQ4TPLZ0UTW4AS,bw6g695l,,3N2YPY1GI6BIJKD27O206ATDDS3VEX,75.177.187.74,35.8427,-78.6319,27609,"{'iplat': '35.81128', 'iplong': '-78.64645'}",35.81128,-78.64645,2.315168657
804,1257,iwppxpqp,369J354OFENXBSSM2EPII5UHOFE6GQ,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,24.216.208.233,38.7734,-90.792,63367,"{'iplat': '38.80250', 'iplong': '-90.76875'}",38.8025,-90.76875,2.367444247
509,773,05my9ilm,3A1PQ49WVIUG42M0GEVJ89F1V3CH11,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,67.181.184.105,36.8614,-119.7612,93720,"{'iplat': '36.84120', 'iplong': '-119.79600'}",36.8412,-119.796,2.378942031
398,622,uxfftxbd,3NJM2BJS4XJS4MUMFOS8YE0JLRSPCJ,ll1e41pw,,3YCT0L9OMMM6LY9B6S0ELA3FSG4SN8,70.126.120.226,27.8635,-82.71,33782,"{'iplat': '27.87781', 'iplong': '-82.74575'}",27.87781,-82.74575,2.399294534
486,749,pqj5lgbc,3LKC68YZ3BGJXKOQHFFUL82W32JOWF,7oj5suby,,304QEQWKZPXO2APBY5H7QTX1NYR0O9,108.197.168.200,42.9773,-85.7122,49504,"{'iplat': '42.96340', 'iplong': '-85.66810'}",42.9634,-85.6681,2.432716516
814,1270,l2j4z4wb,3PB5A5BD0WJGFS6RLOUAOJUDJQZ7GR,8oh6coid,,3Z33IC0JC0Z1OOMLZDMEEWS2MVNV9N,72.253.198.41,21.3388,-157.8374,96817,"{'iplat': '21.30970', 'iplong': '-157.85900'}",21.3097,-157.859,2.438652894
315,482,uwrosrwy,3YDGXNSEO0743QIQ0SKFTUT544U84O,l4vvkf1o,,3L7SUC0TTU70274ZLP2UYP8WSYC0MU,66.30.57.75,42.9614,-70.988,3833,"{'iplat': '42.98140', 'iplong': '-70.94780'}",42.9814,-70.9478,2.461405803
776,1194,bv4h0yru,3RSDURM96BZ1AY6122UM1TTYAA0EYR,c72oerrg,,3UUSLRKAULGBGOY6TVO0UEVPRYW7DP,67.243.81.20,42.0841,-73.9996,12477,"{'iplat': '42.07778', 'iplong': '-73.95246'}",42.07778,-73.95246,2.4626784
544,853,u1kh0c75,3VAR3R6G1QE87JS8JCZO7SZALVC8OG,39muniop,,3SA4EMRVJVF6NA1CD5UMFT2RX3N0PQ,70.113.23.109,30.4141,-97.807,78750,"{'iplat': '30.42827', 'iplong': '-97.84537'}",30.42827,-97.84537,2.489950115
351,563,tympu89j,3PEIJLRY6U66RT2II62Q4LTPF6JWXN,ll1e41pw,,3YCT0L9OMMM6LY9B6S0ELA3FSG4SN8,162.231.57.35,32.7398,-117.1284,92104,"{'iplat': '32.71570', 'iplong': '-117.16100'}",32.7157,-117.161,2.52262389
